1;1;COL. SAN VICENTE DE PAUL;6
1;2;SENA;14
1;3;COLISEO CARLOS MARTINEZ SILVIA;11
1;4;COLISEO LORENZO ALCANTUZ;14
1;5;COLEIGO EL ROSARIO;6
1;6;CENTRO DE CONVICENCIA CULTURA Y PAZ;6
2;1;COL SAN JOSE DE GUANENTA;18
2;2;COL LA PRESENTACIÓN;17
2;3;COL. LA NIÑA MARIA;14
2;4;COLEGIO SAN CARLOS;15
2;5;COL RODOLFO GONZALES GARCIA;6
2;6;HOGAR INFANTIL DUMBO;8
98;1;CARCEL;1
99;5;COLEGIO SANTA SOFIA;1
99;10;BOQUERON;2
99;30;LA FLORA;1
99;34;LAS JOYAS;1
99;50;OJO DE AGUA;1
99;58;PUENTE TIERRA;1
99;67;SAN JOSE;1
99;71;SANTA RITA;1
99;92;VERSALLES;1
